"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"yjbS",0.019607843,-10.6015115665798,TRUE,FALSE,FALSE
"aphA",0.273109244,21.8464283026128,FALSE,TRUE,FALSE
"yjbQ",0.244604317,19.4278223036448,FALSE,TRUE,FALSE
"yjbR",0.218487395,17.1329983926559,FALSE,TRUE,FALSE
"uvrA",0.25256819,20.111766902939,FALSE,TRUE,FALSE
"ssb",0.001862197,-27.2259093404242,TRUE,FALSE,FALSE
"yjcB",0.322695035,25.8889081154081,FALSE,TRUE,FALSE
"yjcC",0.496534342,39.0427661805506,FALSE,TRUE,FALSE
"soxS",0.234567901,18.5558355583205,FALSE,TRUE,FALSE
"soxR",0.195698925,15.0537212481267,FALSE,TRUE,FALSE
"yjcD",0.277037037,22.1736791996536,FALSE,TRUE,FALSE
"yjcE",0.267272727,21.3576094554664,FALSE,TRUE,FALSE
"yjcF",0.167053364,12.3090390350649,FALSE,TRUE,FALSE
"actP",0.265454545,21.2046953750645,FALSE,TRUE,FALSE
"yjcH",0.257142857,20.5016416739664,FALSE,TRUE,FALSE
"acs",0.232261358,18.3537628386599,FALSE,TRUE,FALSE
"nrfA",0.228253305,18.0010639238254,FALSE,TRUE,FALSE
"nrfB",0.28042328,22.4547411148086,FALSE,TRUE,FALSE
"nrfC",0.248511905,19.764258118766,FALSE,TRUE,FALSE
"nrfD",0.24137931,19.1488860471245,FALSE,TRUE,FALSE
"nrfE",0.25376733,20.2141700041876,FALSE,TRUE,FALSE
"nrfF",0.255208333,20.3370322346401,FALSE,TRUE,FALSE
"nrfG",0.216080402,16.9170611665189,FALSE,TRUE,FALSE
"gltP",0.270167428,21.6004317489571,FALSE,TRUE,FALSE
"yjcO",0.224637681,17.6811496897692,FALSE,TRUE,FALSE
"fdhF",0.226256983,17.8246358742399,FALSE,TRUE,FALSE
"mdtP",0.226312202,17.8295228224439,FALSE,TRUE,FALSE
"mdtO",0.216861598,16.9872332606214,FALSE,TRUE,FALSE
"mdtN",0.278100775,22.2620759671599,FALSE,TRUE,FALSE
"ytcA",0.413043478,32.8765838296183,FALSE,TRUE,FALSE
"yjcS",0.388217523,30.9951477827932,FALSE,TRUE,FALSE
"alsK",0.31827957,25.536072743214,FALSE,TRUE,FALSE
"alsE",0.181034483,13.6693473040647,FALSE,TRUE,FALSE
"alsC",0.220183486,17.2846756227303,FALSE,TRUE,FALSE
"alsA",0.313763862,25.1739098748494,FALSE,TRUE,FALSE
"alsB",0.413461538,32.9080534852813,FALSE,TRUE,FALSE
"alsR",0.389450056,31.089166262384,FALSE,TRUE,FALSE
"rpiB",0.26,20.7440739472023,FALSE,TRUE,FALSE
"yjdP",0.293939394,23.5672074873255,FALSE,TRUE,FALSE
"phnP",0.247694335,19.6940039457956,FALSE,TRUE,FALSE
"phnO",0.170114943,12.6106278769169,FALSE,TRUE,FALSE
"phnN",0.197132616,15.1869781752585,FALSE,TRUE,FALSE
"phnM",0.217238347,17.0210445813864,FALSE,TRUE,FALSE
"phnL",0.204111601,15.8307464170904,FALSE,TRUE,FALSE
"phnK",0.225296443,17.7395637181452,FALSE,TRUE,FALSE
"phnJ",0.242316785,19.230090181641,FALSE,TRUE,FALSE
"phnI",0.218779343,17.15913481273,FALSE,TRUE,FALSE
"phnH",0.218803419,17.1612896719185,FALSE,TRUE,FALSE
"phnG",0.231788079,18.3122193443905,FALSE,TRUE,FALSE
"phnF",0.246556474,19.5961069646554,FALSE,TRUE,FALSE
"phnE",0.251879699,20.0529044620946,FALSE,TRUE,FALSE
"phnD",0.175024582,13.0898228510831,FALSE,TRUE,FALSE
"phnC",0.212927757,16.6329851026718,FALSE,TRUE,FALSE
"yjdN",0.20045045,15.4940267606249,FALSE,TRUE,FALSE
"yjdM",0.31547619,25.3113989132461,FALSE,TRUE,FALSE
"crfC",0.320771646,25.7353662930456,FALSE,TRUE,FALSE
"yjcZ",0.228668942,18.0377325497539,FALSE,TRUE,FALSE
"proP",0.29075183,23.3061595414374,FALSE,TRUE,FALSE
"pmrR",0.288888889,23.1532255771074,FALSE,TRUE,FALSE
"basS",0.258241758,20.5949805063778,FALSE,TRUE,FALSE
"basR",0.266068759,21.2563869514732,FALSE,TRUE,FALSE
"eptA",0.301703163,24.1998053604126,FALSE,TRUE,FALSE
"adiC",0.335575486,26.9112155825914,FALSE,TRUE,FALSE
"adiY",0.559055118,43.5327772373223,FALSE,TRUE,FALSE
"adiA",0.268518519,21.4622069833491,FALSE,TRUE,FALSE
"melR",0.206820682,16.0785287720727,FALSE,TRUE,FALSE
"melA",0.247787611,19.7020228293065,FALSE,TRUE,FALSE
"melB",0.359353024,28.7733204541054,FALSE,TRUE,FALSE
"yjdF",0.238095238,18.8636273898336,FALSE,TRUE,FALSE
"fumB",0.240437158,19.0671762606841,FALSE,TRUE,FALSE
"dcuB",0.284862043,22.8217059877996,FALSE,TRUE,FALSE
"dcuR",0.322222222,25.8511859167273,FALSE,TRUE,FALSE
"dcuS",0.244485294,19.4175484291563,FALSE,TRUE,FALSE
"yjdI",0.489177489,38.5079939922719,FALSE,TRUE,FALSE
"yjdJ",0.340659341,27.3119902014502,FALSE,TRUE,FALSE
"yjdK",0.292929293,23.4845695130485,FALSE,TRUE,FALSE
"yjdO",0.390804598,31.1924152720611,FALSE,TRUE,FALSE
"lysU",0.41831357,33.2728011684734,FALSE,TRUE,FALSE
"dtpC",0.298353909,23.9274562896911,FALSE,TRUE,FALSE
"cadA",0.387802607,30.9634827201691,FALSE,TRUE,FALSE
"cadB",0.534082397,41.7503935913442,FALSE,TRUE,FALSE
"cadC",0.516569201,40.491865774925,FALSE,TRUE,FALSE
"yjdQ",0.545454545,42.5637756482032,FALSE,TRUE,FALSE
"yjdC",0.243055556,19.2940127716383,FALSE,TRUE,FALSE
"dsbD",0.274440518,21.9574970417308,FALSE,TRUE,FALSE
"cutA",0.294985251,23.6526884108489,FALSE,TRUE,FALSE
"dcuA",0.307219662,24.6466180386645,FALSE,TRUE,FALSE
"aspA",0.22407794,17.6314714036169,FALSE,TRUE,FALSE
"fxsA",0.295597484,23.7026893652353,FALSE,TRUE,FALSE
"yjeH",0.282418457,22.6198899046815,FALSE,TRUE,FALSE
"groS",0.010204082,-15.479332552121,TRUE,FALSE,FALSE
"groL",0.00667881,-18.4919865029837,TRUE,FALSE,FALSE
